Key: 9003, Value: 73687
Key: 6005, Value: 90390
Key: 7, Value: 4178
Key: 1007, Value: 17252
Key: 3008, Value: 68046
Key: 1008, Value: 56032
Key: 3008, Value: 87523
Key: 9009, Value: 4359
Key: 3009, Value: 26956
Key: 5011, Value: 49003
Key: 12, Value: 62167
Key: 7013, Value: 1930
Key: 7013, Value: 7158
Key: 7013, Value: 24872
Key: 6016, Value: 89626
Key: 3016, Value: 86801
Key: 4017, Value: 47554
Key: 3018, Value: 13605
Key: 2019, Value: 27371
Key: 7019, Value: 84768
Key: 4021, Value: 61286
Key: 6021, Value: 19537
Key: 6024, Value: 76620
Key: 25, Value: 45208
Key: 1027, Value: 97316
Key: 3027, Value: 25411
Key: 5028, Value: 46471
Key: 4029, Value: 53028
Key: 2032, Value: 57177
Key: 4033, Value: 78670
Key: 3036, Value: 24298
Key: 3036, Value: 43930
Key: 1041, Value: 63699
Key: 7043, Value: 67087
Key: 8044, Value: 92842
Key: 7046, Value: 48464
Key: 3050, Value: 66640
Key: 9052, Value: 56471
Key: 1053, Value: 4277
Key: 1056, Value: 95967
Key: 7062, Value: 48762
Key: 7062, Value: 28203
Key: 9064, Value: 31563
Key: 1065, Value: 13012
Key: 7066, Value: 1966
Key: 4070, Value: 6502
Key: 2075, Value: 60229
Key: 2075, Value: 54134
Key: 2075, Value: 85518
Key: 5075, Value: 24444
Key: 5075, Value: 2233
Key: 7076, Value: 75602
Key: 6078, Value: 17627
Key: 1080, Value: 79337
Key: 2080, Value: 43825
Key: 1080, Value: 78676
Key: 2080, Value: 80422
Key: 2080, Value: 69502
Key: 82, Value: 93108
Key: 8083, Value: 18216
Key: 4083, Value: 38259
Key: 83, Value: 7175
Key: 8084, Value: 31235
Key: 86, Value: 9992
Key: 86, Value: 80800
Key: 4087, Value: 18237
Key: 2088, Value: 75060
Key: 2088, Value: 4472
Key: 89, Value: 32968
Key: 89, Value: 11053
Key: 9090, Value: 17742
Key: 3090, Value: 22335
Key: 9090, Value: 48816
Key: 8091, Value: 71875
Key: 96, Value: 30139
Key: 96, Value: 30089
Key: 3103, Value: 71997
Key: 3103, Value: 87705
Key: 3105, Value: 48788
Key: 3105, Value: 55652
Key: 3109, Value: 55492
Key: 8109, Value: 227
